dataset,sccCount,dagNodes,sccMs,topoMs,longestMs
data/small-1.json,2,2,0.048625,0.0905,0.133292
data/small-2.json,1,1,0.017792,0.002209,0.001458
data/small-3.json,6,6,0.010083,0.004833,0.002125
data/medium-1.json,1,1,0.060833,0.002791,0.0015
data/medium-2.json,1,1,0.054416,0.002333,0.001584
data/medium-3.json,1,1,0.031792,0.00175,0.001292
data/large-1.json,1,1,0.089833,0.010834,0.003875
data/large-2.json,1,1,0.226833,0.008125,0.004083
data/large-3.json,1,1,0.16,0.002625,0.001416
dataset,sccCount,dagNodes,sccMs,topoMs,longestMs
data/small-1.json,2,2,0.109375,1.015125,1.6785
data/small-2.json,1,1,0.042125,0.006375,0.004833
data/small-3.json,6,6,0.024917,0.018042,0.005542
data/medium-1.json,1,1,0.139042,0.005083,0.003292
data/medium-2.json,1,1,0.113333,0.00625,0.004166
data/medium-3.json,1,1,0.075459,0.004667,0.003167
data/large-1.json,1,1,0.3885,0.006667,0.004708
data/large-2.json,1,1,0.171208,0.00675,0.004417
data/large-3.json,1,1,0.656667,0.006417,0.00425
